Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
4,10,0.005375775,0.001002002,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.253492351,0.26268257,0.255537415
4,11,0.004688033,0.001257411,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.246548739,0.255306625,0.21857883
4,12,0.005425153,0.001072308,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.25610522,0.265415122,0.267549609
4,13,0.004704702,0.001320837,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.248375009,0.257212988,0.226367804
4,14,0.005443679,0.001123552,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.257674415,0.267054087,0.240756279
4,15,0.005120834,0.001391269,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.257959261,0.267283805,0.277579043
4,16,0.006157836,0.00117751,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.272525764,0.282673552,0.245266109
4,17,0.005411282,0.001319942,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.261753284,0.271296949,0.285273251
4,18,0.005543646,0.000996867,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.256508052,0.265861005,0.282440147
4,19,0.004962063,0.001182623,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.249909837,0.258866965,0.223636332
4,20,0.005062696,0.000948317,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.24619218,0.255015634,0.287809906
4,21,0.00310017,0.001175469,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.214349512,0.221437592,0.202007127
4,22,0.002537806,0.000924776,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.197641635,0.203916658,0.187686986
4,23,0.002415277,0.001118494,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.199956498,0.20630271,0.197753496
5,0,0.002366526,0.000708327,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.189179896,0.19506719,0.211868611
5,1,0.002366526,0.00093397,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.194589017,0.200701954,0.182457872
5,2,0.002366526,0.000702452,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.189026249,0.194907668,0.221240939
5,3,0.002467038,0.000264955,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.180429728,0.185974162,0.207890467
5,4,0.002873008,1.99E-05,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.201514943,0.210032714,0.217287232
5,5,0.006959547,0.001760774,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.320934293,0.335279496,0.308775873
5,6,0.007842616,0.001472058,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.407816651,0.434005972,0.495617893
5,7,0.012361412,0.001652101,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.729107051,0.793744503,0.816042705
5,8,0.01193461,0.001988302,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.729060311,0.793607162,0.691550793
5,9,0.01152415,0.002412798,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.731443157,0.796004045,0.874235855
5,10,0.011543451,0.002775625,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.74051138,0.805454395,0.700553357
5,11,0.011145138,0.002579503,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.728230184,0.792578763,0.701507303
5,12,0.011638329,0.002983766,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.747296812,0.812542845,0.828668453
5,13,0.011720831,0.003276471,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.755882943,0.821504183,0.778155662
5,14,0.011783359,0.00363545,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.765680147,0.831722895,0.812148816
5,15,0.012215114,0.003909355,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.780450887,0.847199294,0.924600129
5,16,0.011129825,0.003419657,0.001993629,0.001993629,0.002990444,0.002492036,0,0,0,0.029904436,0.671031814,0.724955471,0.726886555
5,17,0.009388567,0.002458203,0.001424021,0.001424021,0.002136031,0.001780026,0,0,0,0.021360311,0.537827156,0.577798336,0.648474538
5,18,0.009608987,0.002025164,0.001424021,0.001424021,0.002136031,0.001780026,0,0,0,0.021360311,0.531615884,0.571374445,0.550799728
5,19,0.008550604,0.001734822,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.427492555,0.454652628,0.490840515
5,20,0.008395898,0.001651945,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.422557766,0.449480255,0.431613938
5,21,0.003399727,0.000731354,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.228490486,0.238246449,0.24361512
5,22,0.002712217,0.001055636,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.203944372,0.210524667,0.193591279
5,23,0.003052075,0.000560113,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.198502784,0.204927413,0.220442533
6,0,0.002366526,0.000717749,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.1892543,0.195151016,0.210855961
6,1,0.002366526,0.000475362,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.183430689,0.189085018,0.212289617
6,2,0.002543042,0.000528185,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.18804594,0.193929609,0.204842805
6,3,0.002813671,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.180505121,0.186131233,0.211873162
6,4,0.002873008,0,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.200886086,0.209383976,0.240447016
6,5,0.006724144,0.001918169,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.320087384,0.334354578,0.287104994
6,6,0.007555025,0.001472058,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.402200681,0.42810241,0.414695698
6,7,0.012327126,0.001880969,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.733796704,0.798628738,0.828420828
6,8,0.011981523,0.002371834,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.739004679,0.803981974,0.720386574
6,9,0.011514317,0.00273305,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.738790622,0.803661927,0.823790253
6,10,0.011520793,0.00300746,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.745493205,0.810645396,0.866038618
6,11,0.011121704,0.002735278,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.731371815,0.795852735,0.699926245
6,12,0.011570085,0.003444985,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.756917707,0.822556716,0.838683091
6,13,0.011610975,0.004689918,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.787566698,0.85449153,0.800504138
6,14,0.011641083,0.006470109,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.830856986,0.899592116,0.908306979
6,15,0.012066311,0.008028082,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.876321364,0.947039696,0.840015053
6,16,0.011053287,0.005599757,0.001993629,0.001993629,0.002990444,0.002492036,0,0,0,0.029904436,0.721748273,0.777775492,0.75032101
6,17,0.00941025,0.002302965,0.001424021,0.001424021,0.002136031,0.001780026,0,0,0,0.021360311,0.534361695,0.57419932,0.621848828
6,18,0.009608045,0.001809093,0.001424021,0.001424021,0.002136031,0.001780026,0,0,0,0.021360311,0.526260558,0.565802106,0.564107701
6,19,0.008529179,0.001607027,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.423866656,0.450877508,0.436181098
6,20,0.008401804,0.001567823,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.420499325,0.447343598,0.499546274
6,21,0.002872998,0.000649908,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.216376209,0.225523997,0.25125913
6,22,0.002467038,0.000621175,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.188707164,0.194607818,0.176498268
6,23,0.003110595,0.000586437,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.200094715,0.206604188,0.200790589
7,0,0.002366526,0.000541246,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.1848665,0.190586713,0.163749011
7,1,0.002366526,1.93E-05,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.172333482,0.177531749,0.164504285
7,2,0.002366526,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.171863965,0.177042932,0.198170186
7,3,0.002467038,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.17376736,0.179046839,0.15428152
7,4,0.002873008,0,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.200734362,0.209232253,0.183985303
7,5,0.006790993,0.002008251,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.323367769,0.337791895,0.339024962
7,6,0.007449485,0.001472058,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.400043701,0.425839891,0.370862498
7,7,0.012172177,0.002010055,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.733799021,0.798605192,0.71435391
7,8,0.012079697,0.002290405,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.738763968,0.803758009,0.909434528
7,9,0.011615464,0.002563165,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.736483465,0.801286033,0.752162582
7,10,0.011543544,0.002825988,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.741418412,0.806411882,0.877405384
7,11,0.011126904,0.002569731,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.727345759,0.791666333,0.714233204
7,12,0.011505368,0.002859506,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.741484871,0.806473685,0.828033946
7,13,0.011504639,0.002952407,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.7436943,0.808775285,0.870583752
7,14,0.011528431,0.003264023,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.751618816,0.817035208,0.912869659
7,15,0.011948581,0.003319478,0.002563237,0.002563237,0.003844856,0.003204047,0,0,0,0.038448561,0.760926271,0.826818269,0.946148605
7,16,0.011023468,0.002814926,0.001993629,0.001993629,0.002990444,0.002492036,0,0,0,0.029904436,0.65419402,0.707406588,0.760525029
7,17,0.009496524,0.00208418,0.001424021,0.001424021,0.002136031,0.001780026,0,0,0,0.021360311,0.530598334,0.570303447,0.528879334
7,18,0.009735766,0.001773104,0.001424021,0.001424021,0.002136031,0.001780026,0,0,0,0.021360311,0.52767181,0.567305091,0.532713326
7,19,0.008450124,0.001554896,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.420961749,0.447841415,0.456795245
7,20,0.008191613,0.0015072,0.000854412,0.000854412,0.001281619,0.001068016,0,0,0,0.012816187,0.414899025,0.441472485,0.429975226
7,21,0.002872998,0.000481268,0.000284804,0.000284804,0.000427206,0.000356005,0,0,0,0.004272062,0.212177118,0.221156266,0.233989548
7,22,0.002467038,0.000234554,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.179276532,0.184790564,0.163415759
7,23,0.002366526,3.98E-05,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.172685469,0.177904197,0.177645821
