Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
4,14,0.01306483,0.002808879,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.246908316,0.267054087,0.254009388
4,15,0.012290002,0.003478172,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.247243568,0.267283805,0.263295839
4,16,0.014778807,0.002943775,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.260678907,0.282673552,0.29631157
4,17,0.012987076,0.003299856,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.250737954,0.271296949,0.263945309
4,18,0.013304749,0.002492166,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.245792027,0.265861005,0.238547607
4,19,0.011908952,0.002956559,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.239729392,0.258866965,0.226104417
4,20,0.012150469,0.002370793,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.236222309,0.255015634,0.217610173
4,21,0.007440407,0.002938673,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.206786449,0.221437592,0.224676378
4,22,0.006090734,0.00231194,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.191241922,0.203916658,0.183080496
4,23,0.005796666,0.002796234,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.193437748,0.20630271,0.2335848
5,0,0.005679663,0.001770817,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.183344648,0.19506719,0.185925128
5,1,0.005679663,0.002334925,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.188415304,0.200701954,0.171408131
5,2,0.005679663,0.001756129,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.183199814,0.194907668,0.201712592
5,3,0.00592089,0.000662387,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.175118822,0.185974162,0.184990135
5,4,0.00689522,4.97012E-05,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.194543668,0.210032714,0.201398931
5,5,0.016702913,0.004401934,0.000783211,0.000569608,0.000854412,0.00071201,0.000640809,0,0,0.004984073,0.305630524,0.335279496,0.346198273
5,6,0.018822279,0.003680146,0.002349634,0.001708825,0.002563237,0.002136031,0.001922428,0,0,0.014952218,0.385871172,0.434005972,0.473060133
5,7,0.02966739,0.004130254,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.683049738,0.793744503,0.685942427
5,8,0.028643065,0.004970755,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.68309622,0.793607162,0.774800407
5,9,0.027657961,0.006031996,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.685416966,0.796004045,0.738260522
5,10,0.027704282,0.006939062,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.693913929,0.805454395,0.712903076
5,11,0.02674833,0.006448758,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.682484554,0.792578763,0.755932949
5,12,0.027931991,0.007459414,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.700254318,0.812542845,0.886149872
5,13,0.028129993,0.008191178,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.70828589,0.821504183,0.742664528
5,14,0.028280062,0.009088624,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.717457087,0.831722895,0.715413226
5,15,0.029316274,0.009773386,0.007048903,0.005126475,0.007689712,0.006408094,0.005767284,0,0,0.044856655,0.731212512,0.847199294,0.911227205
5,16,0.02671158,0.008549144,0.00548248,0.003987258,0.005980887,0.004984073,0.004485665,0,0,0.034888509,0.629885875,0.724955471,0.756177676
5,17,0.022532561,0.006145507,0.003916057,0.002848042,0.004272062,0.003560052,0.003204047,0,0,0.024920363,0.506399645,0.577798336,0.512963096
5,18,0.023061569,0.00506291,0.003916057,0.002848042,0.004272062,0.003560052,0.003204047,0,0,0.024920363,0.500529343,0.571374445,0.572505234
